ID_original;number;title;doi;pmid;tq1;tq2;tq3;tq4;uri;altmetric_jid;issns1;issns2;issns3;journal;cohorts.pub;cohorts.doc;abstract;context.all.count;context.all.mean;context.all.rank;context.all.pct;context.all.higher_than;context.journal.count;context.journal.mean;context.journal.rank;context.journal.pct;context.journal.higher_than;context.similar_age_3m.count;context.similar_age_3m.mean;context.similar_age_3m.rank;context.similar_age_3m.pct;context.similar_age_3m.higher_than;context.similar_age_journal_3m.count;context.similar_age_journal_3m.mean;context.similar_age_journal_3m.rank;context.similar_age_journal_3m.pct;context.similar_age_journal_3m.higher_than;authors1;authors2;authors3;authors4;authors5;authors6;authors7;authors8;authors9;authors10;authors11;authors12;authors13;authors14;authors15;altmetric_id;schema;is_oa;publisher_subjects.name1;publisher_subjects.name2;publisher_subjects.scheme1;publisher_subjects.scheme2;cited_by_posts_count;cited_by_tweeters_count;cited_by_accounts_count;cited_by_feeds_count;last_updated;score;history.1y;history.6m;history.3m;history.1m;history.1w;history.6d;history.5d;history.4d;history.3d;history.2d;history.1d;history.at;url;added_on;published_on;subjects1;subjects2;scopus_subjects1;scopus_subjects2;scopus_subjects3;scopus_subjects4;readers.citeulike;readers.mendeley;readers.connotea;readers_count;images.small;images.medium;images.large;details_url;publisher_subjects.name3;publisher_subjects.name4;publisher_subjects.name5;publisher_subjects.scheme3;publisher_subjects.scheme4;publisher_subjects.scheme5
1;1;Psoriasis and sleep disorders: A systematic review.;10.1016/j.smrv.2015.09.003;26624228;Gupta et al suggest clinicians consider discussing sleep quality with their #Psoriasis pts. Find out why here;Is there a link between #Psoriasis #PsA with obstructive sleep apnea or restless leg syndrome? Find out here;Is there more to #Psoriasis sleep disturbances than just itch? Read about #Psoriasis sleeping disorders here;Gupta et al systematically review the relationship between #Psoriasis, #PsA, sleep disorders in adults peds;http://linkinghub.elsevier.com/retrieve/pii/S1087079215001239;4f6fa6383cf058f61000894e;1087-0792;1532-2955;10870792;Sleep Medicine Reviews;2;1;Psoriasis is an immune-mediated chronic inflammatory disorder which manifests as dermatologic lesions, and psoriatic arthritis (PsA) in about 30% of cases. Psoriasis is associated with multiple comorbidities including metabolic syndrome, hypertension, diabetes, cardiovascular events, obesity and psychiatric disorders, which can all affect the course of sleep disorders. A systematic review of the literature on the relationship between psoriasis, PsA, and formal sleep disorders identified 33 studies. There is an increased prevalence of obstructive sleep apnea (OSA) with 36%-81.8% prevalence in psoriasis versus 2%-4% in the general population. There was also an increase in the prevalence of restless legs syndrome of 15.1%-18% in psoriasis versus 5%-10% in European and North American samples. The wide variety of insomnia criteria used in studies resulted in an insomnia prevalence of 5.9%-44.8% in psoriasis, which is insufficient to show an elevated prevalence when the general population has a 10% prevalence of chronic insomnia and 30-35% prevalence of transient insomnia. There is evidence that symptoms of insomnia in psoriasis are directly mediated by pruritus and pain. Treatments that decrease the cutaneous symptoms in psoriasis were successful in mitigating insomnia, but did not show improvements in OSA where the relationship with psoriasis is multifactorial.;7945514;67131662353268;3698968;51;4068997;491;13350783673469;338;29;144;239637;93922657447128;103040;53;128030;15;15601857142857;13;13;2;Gupta, Madhulika A;Simpson, Fiona C;Gupta, Aditya K;Madhulika A. Gupta;Fiona C. Simpson;Aditya K. Gupta;NA;NA;NA;NA;NA;NA;NA;NA;NA;4586775;1.5.4;FALSE;Medical And Health Sciences;Psychology And Cognitive Sciences;era;era;3;3;3;NA;1449822911;1.5;0;0;0;0;0;0;0;0;0;0;0;1.5;http://dx.doi.org/10.1016/j.smrv.2015.09.003;1444040391;1449060370;psychophysiology;neurology;Health Sciences;Medicine;Life Sciences;Neuroscience;0;38;0;38;https://badges.altmetric.com/?size=64&score=2&types=tttttttt;https://badges.altmetric.com/?size=100&score=2&types=tttttttt;https://badges.altmetric.com/?size=180&score=2&types=tttttttt;http://www.altmetric.com/details.php?citation_id=4586775;NA;NA;NA;NA;NA;NA
2;2;A systematic review and meta-analysis on Staphylococcus aureus carriage in psoriasis, acne and rosacea;10.1007/s10096-016-2647-3;27151386;A systematic review and meta-analysis on Staphyloccocus aureus carriage in psoriasis, acne and rosacea;I'm reading this on #springerlink;Meta-analysis suggests skin colonization with S aureus in #psoriasis patients may contribute to #inflammation;NA;NA;4f6fa4eb3cf058f610002828;1435-4373;0934-9723;NA;European Journal of Clinical Microbiology & Infectious Diseases;3;NA;"Staphylococcus aureus might amplify symptoms in chronic inflammatory skin diseases. This study evaluates skin and mucosal colonization with S. aureus in patients with psoriasis, acne and rosacea. A systematic literature search was conducted. Both odds ratios (OR) for colonization in patients versus controls and the prevalence of colonization in patients are reported. Fifteen articles about psoriasis and 13 about acne (12 having a control group) were included. No study in rosacea met our inclusion criteria. For psoriasis, one study out of three controlled studies showed increased skin colonization (OR 18.86; 95 % confidence interval [CI] 2.20-161.99). Three out of the five studies that reported on nasal colonization showed significant ORs varying from 1.73 (95 % CI 1.16-2.58) to 14.64 (95 % CI 2.82-75.95). For acne one of the three studies that evaluated skin colonization reported a significant OR of 4.16 (95 % CI 1.74-9.94). A relation between nasal colonization and acne was not found. Limitations in study design and low sample sizes should be taken into consideration when interpreting the results. Colonisation with S. aureus seems to be increased in patients with psoriasis. This bacterial species, known for its potential to induce long-lasting inflammation, might be involved in psoriasis pathogenesis. Information on acne is limited. Prospective controlled studies should further investigate the role of S. aureus in chronic inflammatory skin diseases.";7945514;67131662353268;929742;88;7014939;1116;25692950672646;51;95;1064;268757;11447392891693;45543;82;223034;45;31894545454545;6;84;38;Totté, J E E;van der Feltz, W T;Bode, L G M;van Belkum, A;van Zuuren, E J;Pasmans, S G M A;J. E. E. Totté;W. T. Feltz;L. G. M. Bode;A. Belkum;E. J. Zuuren;S. G. M. A. Pasmans;W. T. van der Feltz;A. van Belkum;E. J. van Zuuren;7277028;1.5.4;FALSE;Biomedicine;Internal Medicine;springer;springer;4;3;4;1;1462906080;8.83;0;0;0;0;0;0;0;0;0;0;0;8.83;http://dx.doi.org/10.1007/s10096-016-2647-3;1462798177;1462406400;microbiology;communicablediseases;Medicine;Health Sciences;NA;NA;0;15;0;15;https://badges.altmetric.com/?size=64&score=9&types=bbtttttt;https://badges.altmetric.com/?size=100&score=9&types=bbtttttt;https://badges.altmetric.com/?size=180&score=9&types=bbtttttt;http://www.altmetric.com/details.php?citation_id=7277028;Medical Microbiology;Biological Sciences;Medical And Health Sciences;springer;era;era
3;3;The Effect of TNF Inhibitors on Cardiovascular Events in Psoriasis and Psoriatic Arthritis: an Updated Meta-Analysis;10.1007/s12016-016-8560-9;27300248;#NoSurprise #TNFInhibitors lower #Cardiovascular Events in #Psoriasis patients #humira #enbrel #AskDrG;The Effect of TNF Inhibitors on Cardiovascular Events in Psoriasis and Psoriatic Arthritis: an Updated…;NA;NA;NA;4f6fa6123cf058f610006f22;1559-0267;1080-0549;NA;Clinical Reviews in Allergy and Immunology;1;NA;"TNF inhibitors have been used in psoriasis (Pso) and psoriatic arthritis (PsA), which were associated with increased risk of cardiac and cerebrovascular events. However, whether TNF inhibitors reduce cardiovascular event is still unclear. Therefore, we aimed to evaluate the effect of TNF inhibitors on adverse cardiovascular events (CVEs) in Pso with or without PsA. We undertook a meta-analysis of clinical trials identified in systematic searches of MEDLINE, EMBASE, Wanfang database, Cochrane Database, and Google scholar through December 31, 2015. Five studies (49,795 patients) were included. Overall, compared with topical/photo treatment, TNF inhibitors were associated with a significant lower risk of CVE (RR, 0.58; 95 % CI, 0.43 to 0.77; P < 0.001; I (2) = 66.2 %). Additionally, compared with methotrexate (MTX) treatment, risk of CVE was also markedly decreased in the TNF inhibitor group (RR, 0.67; 95 % CI, 0.52 to 0.88; P = 0.003; I (2) = 9.3 %). Meanwhile, TNF inhibitors were linked to reduced incidence of myocardial infarction compared with topical/photo or MTX treatment (RR, 0.73; 95 % CI, 0.59 to 0.90; P = 0.003; I (2) = 56.2 % and RR, 0.65; 95 % CI, 0.48 to 0.89; P = 0.007; I (2) = 0.0 %, respectively). Furthermore, there was a trend of decreased rate of mortality in the TNF inhibitor group compared with other therapy (RR, 0.90; 95 % CI, 0.54 to 1.50; P = 0.68; I (2) = 70.9 %). TNF inhibitors appear to have net clinical benefits with regard to adverse cardiovascular events in Pso and/or PsA. Rigorous randomized controlled trials will need to evaluate whether TNF inhibitors truly result in reduction of cardiovascular diseases.";8058126;68389387129106;470937;94;7585762;316;48195428571429;13;95;303;269175;11588694970539;24424;90;244669;19;31127777777778;1;94;18;Yang, Zheng-Sheng;Lin, Ning-Ning;Li, Li;Li, Yang;Zheng-sheng Yang;Ning-ning Lin;Li Li;Yang Li;NA;NA;NA;NA;NA;NA;NA;8758088;1.5.4;FALSE;Allergology;Immunology;springer;springer;4;1;4;NA;1468165879;17.25;0;0;0;0;0;0;0;0;0;0;0;17.25;http://dx.doi.org/10.1007/s12016-016-8560-9;1465991920;1465862400;NA;NA;Medicine;Health Sciences;NA;NA;0;12;0;12;https://badges.altmetric.com/?size=64&score=18&types=mmmmttff;https://badges.altmetric.com/?size=100&score=18&types=mmmmttff;https://badges.altmetric.com/?size=180&score=18&types=mmmmttff;http://www.altmetric.com/details.php?citation_id=8758088;Internal Medicine;Medicine & Public Health;Immunology;springer;springer;era
4;4;Biomarkers in psoriatic arthritis: a systematic literature review;10.1586/1744666x.2016.1147954;26821681;NA;NA;NA;NA;NA;4f6fa6173cf058f6100073cd;1744-8409;1744-666X;NA;Expert Review of Clinical Immunology;1;NA;Psoriatic arthritis (PsA) is characterized by chronic inflammation of peripheral joints and axial skeleton, associated with a strong genetic background. Clinics include enthesitis or dactylitis and extra-articular involvement as uveitis or inflammatory bowel disease, while treatment options range from nonsteroidal anti-inflammatory drugs (NSAIDs) to biologics, targeting TNF alpha or Th17. No serum autoantibody is associated with PsA, while other biomarkers have been proposed for early diagnosis or to predict treatment response. To better discuss this area of growing interest we performed a systematic review of the literature on biomarkers in PsA. Our research retrieved 408 papers, and 38 were included in the analysis. Based on the available literature, we draw some recommendations for the use of biomarkers in the management of patients with PsA.;8059538;68397725663364;4029128;47;3826041;537;24609291044776;188;59;319;287682;10928705169962;144877;45;132002;36;20657142857143;12;63;23;Elena Generali;Carlo A. Scirè;Ennio G. Favalli;Carlo Selmi;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6024440;1.5.4;FALSE;NA;NA;NA;NA;2;1;2;NA;1476835200;1.25;1;0;0;0;0;0;0;0;0;0;0;1.25;http://dx.doi.org/10.1586/1744666x.2016.1147954;1456791289;1464825600;NA;NA;Health Sciences;Medicine;Life Sciences;Immunology and Microbiology;0;7;0;7;https://badges.altmetric.com/?size=64&score=2&types=tttt1111;https://badges.altmetric.com/?size=100&score=2&types=tttt1111;https://badges.altmetric.com/?size=180&score=2&types=tttt1111;http://www.altmetric.com/details.php?citation_id=6024440;NA;NA;NA;NA;NA;NA
6;5;Education to improve quality of life of people with chronic inflammatory skin conditions: a systematic review of the evidence.;10.1111/bjd.14435;26833102;New: systematic review of education to improve quality of life of people with skin conditions #eczema #psoriasis;Education to improve quality of life in chronic inflammatory #skin conditions: a systematic review;La #Educación mejora la #CalidaddeVida de Pacientes con enfermedades crónicas de Piel #Psoriasis Review PubMed- NCBI;Education to improve quality of life in chronic inflammatory #skin conditions: a systematic review #BJD;NA;4f6fa4e93cf058f610002442;NA;NA;NA;British Journal of Dermatology;6;2;Patient and carer education has been proposed as a way of improving health-related quality of life (HRQoL) among people with chronic inflammatory skin conditions. This systematic review aimed to assess the effects of education which specifically addresses HRQoL among people with chronic inflammatory skin conditions. We searched 12 literature databases and other sources (to July 2014). Seven randomised controlled trials (RCTs) met the review inclusion criteria, from which data were extracted and critically appraised. Two RCTs showed that for psoriasis in adults, group-based and text message education (as adjuncts to usual care), respectively, resulted in better HRQoL and disease severity outcomes than comparators. One RCT found group-based education for children with eczema (atopic dermatitis) and their parents resulted in greater improvements in parents' HRQoL and the children's disease severity than no education at 12 months. The remaining RCTs evaluated an educational session for psoriasis, a website for carers of children with eczema, information on skin care and make-up use given to women with acne, and an itch coping programme for a range of conditions, all as adjuncts to usual care. None found statistically significant effects on HRQoL or disease severity compared to usual care. Common features of the effective interventions were long delivery (over 6 weeks to three months) and delivery by a multi-disciplinary team. Overall, the evidence base is currently limited and generally of an unclear risk of bias. There is a need for more large RCTs evaluating piloted and theory-based interventions. This article is protected by copyright. All rights reserved.;7211484;63513465940328;1099017;84;6108881;3234;50356535725332;407;87;2825;321454;94119317287438;65127;79;256081;99;5975;24;75;75;Pickett, K.;Frampton, G.;Loveman, E.;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5075654;1.5.4;FALSE;Clinical Sciences;Oncology And Carcinogenesis;era;era;11;9;9;NA;1471796722;6.1;4.6;0;0;0;0;0;0;0;0;0;0;6.1;http://dx.doi.org/10.1111/bjd.14435;1454407074;1454284800;NA;NA;Medicine;Health Sciences;NA;NA;0;20;0;20;https://badges.altmetric.com/?size=64&score=7&types=tttttttt;https://badges.altmetric.com/?size=100&score=7&types=tttttttt;https://badges.altmetric.com/?size=180&score=7&types=tttttttt;http://www.altmetric.com/details.php?citation_id=5075654;NA;NA;NA;NA;NA;NA
7;6;Epicardial fat tissue in patients with psoriasis:a systematic review and meta-analysis;10.1186/s12944-016-0271-y;27245937;NA;NA;NA;NA;NA;4f6fa4d03cf058f61000086a;NA;NA;NA;Lipids in Health and Disease;1;NA;Several studies have been performed to investigate the relationship between psoriasis and epicardial fat tissue (EFT). However, the number of patients of every single study is relatively small. We carried out a meta-analysis to evaluate whether EFT is associated with psoriasis. A search of PubMed, Ovid Embase, Ovid Medline, the Cochrane Library and Chinese BioMedical Literature Database (CBM) for controlled trials was done from inception to January 20th, 2016. Published trials that included a psoriasis group and a control group without psoriasis with data for at least epicardial fat tissue (EFT) were included. All statistical analyses were conducted using the Stata 12.0 (Stata Corporation, College Station, TX, USA). There were 5 trials involving 731 patients. Patients with psoriasis showed significantly higher EFT than control group (SMD: 0.86, 95 % CI: 0.27-1.46, P<U+2009>=<U+2009>0.004). Patients with psoriasis have higher EFT compared to control subjects without psoriasis.;7847043;66493042501824;5672799;24;1895173;673;46989791666667;400;34;230;269344;11367162784999;172635;30;81189;17;4469375;11;23;4;Xiaoxue Wang;Zaipei Guo;Zexin Zhu;Yuting Bao;Beichen Yang;Wang, Xiaoxue;Guo, Zaipei;Zhu, Zexin;Bao, Yuting;Yang, Beichen;NA;NA;NA;NA;NA;8425819;1.5.4;FALSE;Clinical Nutrition;Life Sciences;springer;springer;2;2;2;NA;1464868821;0.75;0;0;0;0;0;0;0;0;0;0;0;0.75;http://dx.doi.org/10.1186/s12944-016-0271-y;1464816116;1464652800;metabolism;biochemistry;Health Sciences;Medicine;Life Sciences;Biochemistry, Genetics and Molecular Biology;0;2;0;2;https://badges.altmetric.com/?size=64&score=1&types=tttttttt;https://badges.altmetric.com/?size=100&score=1&types=tttttttt;https://badges.altmetric.com/?size=180&score=1&types=tttttttt;http://www.altmetric.com/details.php?citation_id=8425819;Lipidology;Medical Biochemistry;Medical Biochemistry And Metabolomics;springer;springer;era
9;7;Medical adherence to topical corticosteroid preparations prescribed for psoriasis: A systematic review;10.1080/09546634.2016.1178375;27151546;NA;NA;NA;NA;NA;4f6fa52b3cf058f610003fbc;1471-1753;0954-6634;NA;Journal of Dermatological Treatment;1;NA;Topical corticosteroids and corticosteroid combinations are the principal treatments in psoriasis. The aim of this study was to investigate published literature dealing with medical adherence to topical corticosteroid or corticosteroid combinations in patients with psoriasis. Systematic electronic searches in English language literature were done until September 2015 without publication date restriction. We identified 11 studies consisting of five surveys, two prospective studies, one qualitative study, one mixed-method study, one register study, and one interventional study. Observation periods varied and rates of nonadherence ranged from 8% to 88.3%. The rates were reported by patients on eight nonvalidated scales and one validated scale, measured by medication weight in two studies, and in two studies rates of nonadherence were measured using prescription registers. Thirty-four multifactorial determinants of nonadherence were found. One designed intervention consisted of a disease management program, which improved adherence in the study period. Overall, the studies included were heterogeneous in design and had a high risk of bias. To improve health outcome in topical treatment of psoriasis, further studies should be conducted addressing determinants of nonadherence and test interventions to improve adherence. Validated measurements of medical nonadherence, prescription registers, or medication-weight are needed.;7987814;67359164730015;4193518;27;2231756;397;3462101010101;191;30;122;269216;11450093382612;145729;36;97752;8;20857142857143;6;25;2;Svendsen, Mathias Tiedemann;Andersen, Flemming;Hansen, Jakob;Johannessen, Helle;Andersen, Klaus Ejner;Mathias Tiedemann Svendsen;Flemming Andersen;Jakob Hansen;Helle Johannessen;Klaus Ejner Andersen;NA;NA;NA;NA;NA;7277023;1.5.4;FALSE;NA;NA;NA;NA;2;1;1;NA;1491387155;1;1;1;0;0;0;0;0;0;0;0;0;1;http://dx.doi.org/10.1080/09546634.2016.1178375;1462798175;1462492800;NA;NA;Medicine;Health Sciences;NA;NA;0;5;0;5;https://badges.altmetric.com/?size=64&score=1&types=tttttttt;https://badges.altmetric.com/?size=100&score=1&types=tttttttt;https://badges.altmetric.com/?size=180&score=1&types=tttttttt;http://www.altmetric.com/details.php?citation_id=7277023;NA;NA;NA;NA;NA;NA
10;8;Safety and Efficacy of Methotrexate in Psoriasis: A Meta-Analysis of Published Trials;10.1371/journal.pone.0153740;27168193;NA;NA;NA;NA;NA;4f6fa5313cf058f6100043e3;NA;NA;NA;PLoS ONE;1;NA;Methotrexate (MTX) has been used to treat psoriasis for over half a century. Even so, clinical data characterising its efficacy and safety are sparse. In order to enhance the available evidence, we conducted two meta-analyses, one for efficacy and one for safety outcomes, respectively, according to PRISMA checklist. (Data sources, study criteria, and study synthesis methods are detailed in Methods). In terms of efficacy, only eleven studies met criteria for study design and passed a Cochrane risk of bias analysis. Based on this limited dataset, 45.2% [95% confidence interval 34.1-60.0] of patients achieve PASI75 at primary endpoint (12 or 16 weeks, respectively, n = 705 patients across all studies), compared to a calculated PASI75 of 4.4 [3.5-5.6] for placebo, yielding a relative risk of 10.2 [95% C.I. 7.1-14.7]. For safety outcomes, we extended the meta-analysis to include studies employing the same dose range of MTX for other chronic inflammatory conditions, e.g. rheumatoid arthritis, in order not to maximise capture of relevant safety data. Based on 2763 patient safety years, adverse events (AEs) were found treatment limiting in 6.9 ± 1.4% (mean ± s.e.) of patients treated for six months, with an adverse effect profile largely in line with that encountered in clinical practice. Finally, in order to facilitate prospective clinical audit and to help generate long-term treatment outcomes under real world conditions, we also developed an easy to use documentation form to be completed by patients without requirement for additional staff time. Meta-analyses for efficacy and safety, respectively, employed non-identical selection criteria. These meta-analyses summarise currently available evidence on MTX in psoriasis and should be of use to gauge whether local results broadly fall within outcomes.;8069643;68478546768206;4268129;27;2237885;112285;10554143226105;65414;31;35618;270847;11540528115608;146723;36;98244;4838;13009986768658;3055;27;1335;West, Jonathan;Ogston, Simon;Foerster, John;Jonathan West;Simon Ogston;John Foerster;Arvind Chopra;NA;NA;NA;NA;NA;NA;NA;NA;7357693;1.5.4;FALSE;NA;NA;NA;NA;3;1;1;NA;1499423076;1;1;1;1;1;1;1;0;0;0;0;0;1;http://dx.doi.org/10.1371/journal.pone.0153740;1463048961;1462924800;medicine;science;Life Sciences;Medicine;Health Sciences;Agricultural and Biological Sciences;1;11;0;12;https://badges.altmetric.com/?size=64&score=1&types=tttttttt;https://badges.altmetric.com/?size=100&score=1&types=tttttttt;https://badges.altmetric.com/?size=180&score=1&types=tttttttt;http://www.altmetric.com/details.php?citation_id=7357693;NA;NA;NA;NA;NA;NA
12;9;Psoriasis and Smoking A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of Smoking on Psoriasis Severity;10.1177/1203475415616073;26553732;Psoriasis and Smoking: A Systematic Literature Review and Meta-Analysis With Qualitative Analysis of Effect of…;#Smoking has been associated with #Psoriasis prevalence and severity. Read and analysis of the relation here.;NA;NA;NA;4f6fa4d23cf058f610000ca3;1203-4754;1615-7109;NA;Journal of Cutaneous Medicine and Surgery;1;1;Smoking has been associated with psoriasis prevalence and severity. To evaluate prevalence of smoking in patients with psoriasis and to examine the relationship between smoking and psoriasis severity. MEDLINE, EMBASE, and Cochrane databases (1960-2012) and conference proceedings (2010-2012) were systematically searched using keywords relevant to psoriasis and smoking. Controlled studies addressing psoriasis and smoking status were included. A meta-analysis for the relative risk of smoking in psoriasis patients was performed. Meta-analysis identified a significant association between smoking and psoriasis with a relative risk of 1.88 (95% CI, 1.66-2.13) for smoking in patients with psoriasis versus patients without psoriasis. Eight articles of 11 with data on smoking and psoriasis severity suggested that severity increases with smoking status. This literature review is in favor of a positive association between the prevalence of smoking and psoriasis as well as an association between smoking and severity of psoriasis.;6982524;62409015629427;3240612;50;3558666;153;26288684210526;59;58;90;237573;93898025524894;110645;49;116826;9;249375;5;44;4;Richer, Vincent;Roubille, Camille;Fleming, Patrick;Starnino, Tara;McCourt, Collette;McFarlane, Alexandra;Siu, Stephanie;Kraft, John;Lynde, Charles;Pope, Janet E;Keeling, Stephanie;Dutz, Jan;Bessette, Louis;Gulliver, Wayne P;Haraoui, Boulos;4748914;1.5.4;FALSE;NA;NA;NA;NA;3;2;2;NA;1453055476;1.25;0;0;0;0;0;0;0;0;0;0;0;1.25;http://dx.doi.org/10.1177/1203475415616073;1447240415;1447027200;generalsurgery;dermatology;Medicine;Health Sciences;NA;NA;0;2;0;2;https://badges.altmetric.com/?size=64&score=2&types=tttttttt;https://badges.altmetric.com/?size=100&score=2&types=tttttttt;https://badges.altmetric.com/?size=180&score=2&types=tttttttt;http://www.altmetric.com/details.php?citation_id=4748914;NA;NA;NA;NA;NA;NA
15;10;Methodologies for medication adherence evaluation: Focus on psoriasis topical treatment;10.1016/j.jdermsci.2016.02.008;26917347;NA;NA;NA;NA;NA;4f6fa4f03cf058f610002d4f;0923-1811;1873-569X;NA;Journal of Dermatological Science;1;NA;Adherence to topical treatment has been less studied in comparison with systemic therapeutic regimens and is poorly understood. High-quality research on this area is essential to outline a strategy to increase medication adherence and clinical outcomes. For a more comprehensive understanding of this issue, a systematic review of the methodologies for topical treatment adherence evaluation in psoriasis was undertaken. Twenty one studies were selected from the literature which used six different adherence methodologies. Merely three studies used multiple adherence measurement methods. The most used method was questionnaire (44%) which was also associated with higher variability of the adherence results. One possible explanation is the lack of a validated questionnaire designed specifically for the evaluation of adherence to topical treatment. Only one method (medication weight) takes into consideration the applied dose. However, the estimation of the expected weight is complex, which renders this method, as used presently, less effective. The use of a dosing device could improve its accuracy and be helpful to clearly instruct the patients about the correct dose. As there is no single method that allows an accurate and complete assessment of adherence it is recommended to use a combination of methods, including self-report and medicines' weight measurements.;7252957;63649994636635;3682283;28;2052578;399;31243819095477;166;42;170;283760;10397077893564;152819;35;101269;20;35026315789474;9;45;9;Ana Teixeira;Maribel Teixeira;Vera Almeida;Tiago Torres;José Manuel Sousa Lobo;Isabel Filipa Almeida;NA;NA;NA;NA;NA;NA;NA;NA;NA;5973473;1.5.4;FALSE;NA;NA;NA;NA;1;1;1;NA;1456226498;1;0;0;0;0;0;0;0;0;0;0;0;1;http://dx.doi.org/10.1016/j.jdermsci.2016.02.008;1456226656;1455753600;NA;NA;Health Sciences;Medicine;Life Sciences;Biochemistry, Genetics and Molecular Biology;0;13;0;13;https://badges.altmetric.com/?size=64&score=1&types=tttttttt;https://badges.altmetric.com/?size=100&score=1&types=tttttttt;https://badges.altmetric.com/?size=180&score=1&types=tttttttt;http://www.altmetric.com/details.php?citation_id=5973473;NA;NA;NA;NA;NA;NA
